"Nom_de_la_commune","#Code_commune_INSEE","Code_postal","Ligne_5"
"ST TRIVIER SUR MOIGNANS","01389","01990",
"ST VULBAS","01390","01150",
"SALAVRE","01391","01270",
"SAMOGNAT","01392","01580",
"SANDRANS","01393","01400",
"SAULT BRENAZ","01396","01150",
"SAUVERNY","01397","01220",
"SAVIGNEUX","01398","01480",
"SEGNY","01399","01170",
"SEILLONNAZ","01400","01470",
"SERGY","01401","01630",
"SERMOYER","01402","01190",
"SERRIERES DE BRIORD","01403","01470",
"SERRIERES SUR AIN","01404","01450",
"SERVAS","01405","01960",
"SERVIGNAT","01406","01560",
"SEYSSEL","01407","01420",
"SIMANDRE SUR SURAN","01408","01250",
"SONTHONNAX LA MONTAGNE","01410","01580",
"SONTHONNAX LA MONTAGNE","01410","01580","NAPT"
"SOUCLIN","01411","01150",
"SULIGNAT","01412","01400",
"TALISSIEU","01415","01510",
"TENAY","01416","01230",
"THIL","01418","01120",
"THOIRY","01419","01710",
"THOISSEY","01420","01140",
"TORCIEU","01421","01230",
"TOSSIAT","01422","01250",
"TOUSSIEUX","01423","01600",
"TRAMOYES","01424","01390",
"LA TRANCLIERE","01425","01160",
"VAL REVERMONT","01426","01370","CUISIAT"
"VAL REVERMONT","01426","01370","PRESSIAT"
"VAL REVERMONT","01426","01370","TREFFORT CUISIAT"
"TREVOUX","01427","01600",
"VALEINS","01428","01140",
"VANDEINS","01429","01660",
"VARAMBON","01430","01160",
"VAUX EN BUGEY","01431","01150",
"VERJON","01432","01270",
"VERNOUX","01433","01560",
"VERSAILLEUX","01434","01330",
"VERSONNEX","01435","01210",
"VESANCY","01436","01170",
"VESCOURS","01437","01560",
"VESINES","01439","01570",
"VIEU D IZENAVE","01441","01430",
"VILLARS LES DOMBES","01443","01330",
"VILLEBOIS","01444","01150",
"VILLEMOTIER","01445","01270",
"VILLENEUVE","01446","01480",
"VILLEREVERSURE","01447","01250",
"VILLES","01448","01200",
"VILLETTE SUR AIN","01449","01320",
"VILLIEU LOYES MOLLON","01450","01800",
"VILLIEU LOYES MOLLON","01450","01800","LOYES"
"VILLIEU LOYES MOLLON","01450","01800","MOLLON"
"VIRIAT","01451","01440",
"VIRIEU LE GRAND","01452","01510",
"ARVIERE EN VALROMEY","01453","01260","BRENAZ"
"ARVIERE EN VALROMEY","01453","01260","CHAVORNAY"
"ARVIERE EN VALROMEY","01453","01260","LOCHIEU"
"ARVIERE EN VALROMEY","01453","01260","VIRIEU LE PETIT"
"VIRIGNIN","01454","01300",
"VONGNES","01456","01350",
"VONNAS","01457","01540",
"ABBECOURT","02001","02300",
"ACHERY","02002","02800",
"ACY","02003","02200",
"AGNICOURT ET SECHELLES","02004","02340",
"AGUILCOURT","02005","02190",
"AISONVILLE ET BERNOVILLE","02006","02110",
"AIZELLES","02007","02820",
"AIZY JOUY","02008","02370",
"AIZY JOUY","02008","02370","JOUY"
"ALAINCOURT","02009","02240",
"ALLEMANT","02010","02320",
"AMBLENY","02011","02290",
"AMBRIEF","02012","02200",
"AMIFONTAINE","02013","02190",
"AMIGNY ROUY","02014","02700",
"ANCIENVILLE","02015","02600",
